frase_id,Frase,Nombre,Link,Cat1
1734,"Si quieres tener éxito, promete todo y no cumplas nada.",Napoleón I,https://es.wikipedia.org/wiki/Napole%C3%B3n_Bonaparte,SENTIMIENTOS
1735,"Trabajar constituye un deber indispensable para el hombre social. Rico o pobre, poderoso o débil, todo ciudadano ocioso es un ladrón.",Jean Jacques Rousseau,https://es.wikipedia.org/wiki/Jean-Jacques_Rousseau,SOCIEDAD
1736,No acometas obra alguna con la furia de la pasión: equivale a hacerse a la mar en plena borrasca.,Thomas Fuller,https://es.wikipedia.org/wiki/Thomas_Fuller,CUALIDADES
1737,Nos reímos del honor y luego nos sorprendemos de encontrar traidores entre nosotros.,Clive Staples Lewis,https://es.wikipedia.org/wiki/C._S._Lewis,CUALIDADES
1738,El que posee un amigo verdadero puede decir que posee dos almas.,Arturo Graf,https://es.wikipedia.org/wiki/Arturo_Graf,CUALIDADES
1739,El camino hacia la riqueza depende fundamentalmente de dos palabras: trabajo y ahorro.,Bernard-Henri Lévy,https://es.wikipedia.org/wiki/Bernard-Henri_L%C3%A9vy,SOCIEDAD
1740,El verdadero significado de las cosas se encuentra al tratar de decir las mismas cosas con otras palabras.,Charles Chaplin,https://es.wikipedia.org/wiki/Charles_Chaplin,SOCIEDAD
1741,Los malos libros provocan malas costumbres y las malas costumbres provocan buenos libros.,René Descartes,https://es.wikipedia.org/wiki/Ren%C3%A9_Descartes,SENTIMIENTOS
1742,"Nunca releo mis libros, porque me da miedo.",Gabriel García Márquez,https://es.wikipedia.org/wiki/Gabriel_Garc%C3%ADa_M%C3%A1rquez,CUALIDADES
1743,Los lazos de la amistad son más estrechos que los de la sangre y la familia.,Giovanni Boccaccio,https://es.wikipedia.org/wiki/Giovanni_Boccaccio,SOCIEDAD
1744,"Mis amigos me dicen que soy muy agresivo, pero me lo dicen a gritos.",Jaume Perich,https://es.wikipedia.org/wiki/El_Perich,MISCELÁNEA
1745,"Si es posible, se debe hacer reír hasta a los muertos.",Leonardo Da Vinci,https://es.wikipedia.org/wiki/Leonardo_da_Vinci,MISCELÁNEA
1746,"Los hombres casados son horriblemente aburridos cuando son buenos maridos, e insoportablemente presumidos cuando no lo son.",Oscar Wilde,https://es.wikipedia.org/wiki/Oscar_Wilde,CUALIDADES
1747,"Cuando se está enamorado, comienza uno por engañarse a sí mismo y acaba por engañar a los demás. Esto es lo que el mundo llama una novela.",Oscar Wilde,https://es.wikipedia.org/wiki/Oscar_Wilde,SOCIEDAD
1748,Nadie prueba la profundidad del río con ambos pies.,Proverbio,https://es.wikipedia.org/wiki/Proverbio,SOCIEDAD
1749,Enseñar a quien no quiere aprender es como sembrar un campo sin ararlo.,Richard Whately,https://es.wikipedia.org/wiki/Richard_Whately,SOCIEDAD
1750,El más poderoso hechizo para ser amado es amar.,Baltasar Gracián,https://es.wikipedia.org/wiki/Baltasar_Graci%C3%A1n,SENTIMIENTOS
1751,"El hombre puede soportar las desgracias que son accidentales y llegan de fuera. Pero sufrir por propias culpas, ésa es la pesadilla de la vida.",Oscar Wilde,https://es.wikipedia.org/wiki/Oscar_Wilde,SOCIEDAD
1752,"Ante cualquier desavenencia no caigamos en el error de dudar o bien de su inteligencia, o de su buena voluntad.",Otto von Bismark,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Otto+von+Bismark&go=Go&ns0=1&ns100=1&ns104=1,SENTIMIENTOS
1753,"Acepta los riesgos, toda la vida no es sino una oportunidad. El hombre que llega más lejos es, generalmente, el que quiere y se atreve a serlo.",Dale Carnegie,https://es.wikipedia.org/wiki/Dale_Carnegie,SOCIEDAD
1754,Todo idealismo frente a la necesidad es un engaño.,Friedrich Nietzsche,https://es.wikipedia.org/wiki/Friedrich_Nietzsche,PENSAMIENTO Y RAZÓN
1755,"Cuando veáis a un hombre sabio, pensad en igualar sus virtudes. Cuando veáis un hombre desprovisto de virtud, examinaos vosotros mismos.",Confucio,https://es.wikipedia.org/wiki/Confucio,MISCELÁNEA
1756,"Cuando somos jóvenes lamentamos no tener una mujer, cuando nos hacemos viejos lamentamos no tener a la mujer.",Cesare Pavese,https://es.wikipedia.org/wiki/Cesare_Pavese,CUALIDADES
1757,"¡Cuán grande riqueza es, aun entre los pobres, el ser hijo de buen padre!",Juan Luis Vives,https://es.wikipedia.org/wiki/Juan_Luis_Vives,NATURALEZA
1758,"Tener hijos no lo convierte a uno en padre, del mismo modo en que tener un piano no lo vuelve pianista.",Michael Levine,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Michael+Levine&go=Go&ns0=1&ns100=1&ns104=1,MISCELÁNEA
1759,"Después de aquellos que ocupan los primeros puestos, no conozco a nadie tan desgraciado como quien los envidia.",Marquesa de Maintenon,https://es.wikipedia.org/wiki/Madame_de_Maintenon,NATURALEZA
1760,"Cuando una multitud ejerce la autoridad, es más cruel aún que los tiranos.",Platón,https://es.wikipedia.org/wiki/Plat%C3%B3n,CUALIDADES
